ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close
NCC.NS,NCC Limited,Engineering & Construction,Industrials,False,Cash,Stage 4,watchlist,13.53,-2.68,-3.17,1.13,-10.45,142.53
KSB.NS,Ksb Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 3,watchlist,21.74,-2.7,1.17,-5.97,8.51,805.8
DEEPAKNTR.NS,Deepak Nitrite Limited,Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,41.87,-2.73,-2.4,0.95,2.39,1734.1
DCAL.NS,Dishman Carbogen Amcis Limited,Biotechnology,Healthcare,False,Cash,Stage 4,watchlist,7.61,-2.74,0.9,-6.05,-31.05,176.85
TANLA.NS,Tanla Platforms Limited,Software - Application,Technology,False,Cash,Failed Stage 2,watchlist,10.53,-2.82,0.34,-13.82,2.39,527.85
DIACABS.NS,Diamond Power Infrastructure Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,51.66,-2.85,-2.19,4.58,139.94,330.9
PRECWIRE.NS,Precision Wires India Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,39.43,-2.86,11.76,26.73,94.91,483.1
SANGAMIND.NS,Sangam (India) Limited,Textile Manufacturing,Consumer Cyclical,False,Cash,Stage 2,watchlist,33.61,-2.87,-0.2,-7.09,16.36,569.8
SHAILY.NS,Shaily Engineering Plastics Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,24.87,-2.87,-2.03,3.15,42.51,3172.5
GABRIEL.NS,Gabriel India Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,56.51,-2.9,3.15,-9.34,33.58,1384.9
NIITMTS.NS,NIIT Learning Systems Limited,Consumer Defensive,Consumer Defensive,False,Cash,Stage 4,watchlist,3.79,-2.91,-3.89,-9.43,-43.29,223.47
EIHOTEL.NS,EIH Limited,Lodging,Consumer Cyclical,False,Cash,Stage 4,watchlist,0.0,-2.94,-5.83,-12.63,-21.58,285.8
SANDHAR.NS,Sandhar Technologies Limited,Auto Parts,Consumer Cyclical,False,Cash,Failed Stage 2,watchlist,9.34,-2.97,-4.13,-1.8,16.93,633.75
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 4,watchlist,5.0,-2.99,-3.79,-12.0,-34.18,82.78
KSCL.NS,Kaveri Seed Company Limited,Agricultural Inputs,Basic Materials,False,Cash,Stage 4,watchlist,5.01,-3.0,-5.92,-5.25,-24.2,738.75
UNOMINDA.NS,UNO Minda Limited,Auto Parts,Consumer Cyclical,True,F&O,Failed Stage 2,watchlist,39.29,-3.01,-1.9,0.73,-3.72,1236.0
BBTC.NS,The Bombay Burmah Trading Corporation Limited,Packaged Foods,Consumer Defensive,False,Cash,Stage 4,watchlist,0.0,-3.01,4.66,-0.86,-19.31,1492.7
ENDURANCE.NS,Endurance Technologies Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,44.63,-3.02,-7.71,-2.92,8.81,2755.9
AFFLE.NS,Affle 3i Limited,Communication Services,Communication Services,False,Cash,Not Sure,watchlist,19.3,-3.02,-10.01,-9.83,-14.79,1517.9
TDPOWERSYS.NS,TD Power Systems Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,36.36,-3.03,1.0,30.51,118.41,735.05
ZEEL.NS,Zee Entertainment Enterprises Limited,Communication Services,Communication Services,False,Cash,Failed Stage 2,watchlist,12.64,-3.04,-13.26,-9.02,0.1,90.57
BLUESTARCO.NS,Blue Star Limited,Building Products & Equipment,Industrials,True,F&O,Stage 4,watchlist,3.79,-3.06,-2.67,-14.23,-18.05,1445.3
INOXINDIA.NS,INOX India Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,52.63,-3.07,8.96,10.41,88.87,2099.4
HAPPYFORGE.NS,Happy Forgings Limited,Metal Fabrication,Industrials,False,Cash,Stage 2,watchlist,56.78,-3.08,6.03,37.72,103.46,2345.9
HSCL.NS,Himadri Speciality Chemical Limited,Specialty Chemicals,Basic Materials,False,Cash,Failed Stage 2,watchlist,20.12,-3.12,-0.64,-12.25,36.07,659.6
SETL.NS,Standard Engineering Technology Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,31.84,-3.13,13.48,36.15,150.18,374.95
ROLEXRINGS.NS,Rolex Rings Limited,Metal Fabrication,Industrials,False,Cash,Stage 2,watchlist,38.54,-3.17,-6.2,22.41,35.17,173.01
HEG.NS,HEG Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,52.11,-3.22,-1.0,4.04,13.82,706.4
SKYGOLD.NS,SKY GOLD AND DIAMONDS LIMITED,Luxury Goods,Consumer Cyclical,False,Cash,Stage 2,watchlist,37.75,-3.23,-11.2,11.49,125.88,753.1
EICHERMOT.NS,Eicher Motors Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,Failed Stage 2,watchlist,40.04,-3.24,-4.03,-2.82,6.05,7711.5
MASFIN.NS,MAS Financial Services Limited,Credit Services,Financial Services,False,Cash,Stage 1,watchlist,7.11,-3.3,-0.94,-5.0,-7.27,294.45
HNDFDS.NS,Hindustan Foods Limited,Conglomerates,Industrials,False,Cash,Stage 2,watchlist,44.14,-3.31,-2.15,6.13,21.44,622.8
SONACOMS.NS,Sona BLW Precision Forgings Limited,Auto Parts,Consumer Cyclical,True,F&O,Stage 2,watchlist,56.96,-3.32,-1.55,-0.55,66.03,782.65
GARFIBRES.NS,Garware Technical Fibres Limited,Textile Manufacturing,Consumer Cyclical,False,Cash,Stage 2,watchlist,40.81,-3.32,2.9,5.31,17.1,814.75
KEI.NS,KEI Industries Limited,Electrical Equipment & Parts,Industrials,True,F&O,Stage 2,watchlist,54.98,-3.33,-6.68,-6.0,14.66,5170.0
SAREGAMA.NS,Saregama India Limited,Communication Services,Communication Services,False,Cash,Stage 2,watchlist,37.57,-3.33,-4.07,-12.03,36.08,477.3
APARINDS.NS,Apar Industries Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,36.56,-3.37,-1.47,8.94,101.9,16813.0
JYOTICNC.NS,Jyoti CNC Automation Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 1,watchlist,42.08,-3.38,-5.63,12.71,-3.76,955.65
INDOTECH.NS,Indo Tech Transformers Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,35.02,-3.38,-4.5,0.6,129.47,3577.2
PRUDENT.NS,Prudent Corporate Advisory Services Limited,Asset Management,Financial Services,False,Cash,Stage 2,watchlist,60.11,-3.43,-3.22,-1.91,27.03,3237.4
JTEKTINDIA.NS,Jtekt India Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 4,watchlist,9.93,-3.45,-4.07,-13.31,-13.53,121.38
LUMAXTECH.NS,Lumax Auto Technologies Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,38.29,-3.57,3.04,21.95,23.28,1986.5
ASHOKA.NS,Ashoka Buildcon Limited,Engineering & Construction,Industrials,False,Cash,Stage 4,watchlist,0.0,-3.58,2.91,-2.44,-30.08,117.39
RELAXO.NS,Relaxo Footwears Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Failed Stage 2,watchlist,14.05,-3.6,-5.72,-14.81,-13.97,346.4
CYIENT.NS,Cyient Limited,Conglomerates,Industrials,False,Cash,Not Sure,watchlist,28.19,-3.64,7.11,29.35,1.18,1122.2
RKFORGE.NS,Ramkrishna Forgings Limited,Metal Fabrication,Industrials,False,Cash,Stage 2,watchlist,64.93,-3.65,-0.81,5.43,40.82,726.1
PRICOLLTD.NS,Pricol Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,building_setup,59.81,-3.67,-1.66,0.13,16.24,767.75
IGIL.NS,International Gemological Institute Limited,Basic Materials,Basic Materials,False,Cash,Stage 4,watchlist,0.0,-3.69,-5.94,-8.96,-0.24,327.2
AARTIIND.NS,Aarti Industries Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,47.06,-3.74,-6.95,4.87,34.47,505.2
WSTCSTPAPR.NS,West Coast Paper Mills Limited,Basic Materials,Basic Materials,False,Cash,Stage 2,watchlist,42.12,-3.76,3.5,10.58,51.81,629.05
OLAELEC.NS,Ola Electric Mobility Limited,Auto Manufacturers,Consumer Cyclical,False,Cash,Stage 1,watchlist,8.76,-3.78,2.58,1.06,3.89,38.98
FIRSTCRY.NS,Brainbees Solutions Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 4,watchlist,9.17,-3.86,-11.01,-20.45,-40.49,170.82
AVANTIFEED.NS,Avanti Feeds Limited,Packaged Foods,Consumer Defensive,False,Cash,Stage 4,watchlist,0.0,-3.9,-4.57,-9.3,-7.76,801.2
RATEGAIN.NS,Rategain Travel Technologies Limited,Software - Application,Technology,False,Cash,Stage 2,watchlist,27.11,-3.94,-6.28,-9.82,24.69,875.35
THERMAX.NS,Thermax Limited,Conglomerates,Industrials,False,Cash,Stage 3,watchlist,0.0,-4.11,-5.44,-6.54,22.99,3752.5
PNCINFRA.NS,PNC Infratech Limited,Engineering & Construction,Industrials,False,Cash,Stage 4,watchlist,0.0,-4.17,-10.15,-27.95,-28.0,180.89
AGI.NS,AGI Greenpac Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Not Sure,watchlist,49.0,-4.19,0.66,4.86,-0.39,749.45
HFCL.NS,HFCL Limited,Communication Equipment,Technology,False,Cash,Stage 2,watchlist,50.51,-4.38,-4.08,11.58,228.31,226.27
VOLTAS.NS,Voltas Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,True,F&O,Not Sure,watchlist,9.29,-4.39,-5.33,-13.23,-16.51,1152.1
OSWALPUMPS.NS,Oswal Pumps Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 4,watchlist,10.0,-4.48,-5.77,-14.55,-47.03,278.3
FINCABLES.NS,Finolex Cables Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,39.58,-4.57,-7.4,19.93,51.48,1191.2
HEROMOTOCO.NS,Hero MotoCorp Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,Stage 1,watchlist,32.61,-4.59,-5.27,-4.47,-6.14,5300.0
INDOTHAI.NS,Indo Thai Securities Limited,Capital Markets,Financial Services,False,Cash,Stage 4,watchlist,0.0,-4.99,-22.58,-71.0,-85.94,39.61
AVALON.NS,Avalon Technologies Limited,Electronic Components,Technology,False,Cash,Stage 2,watchlist,35.18,-5.56,-1.65,21.28,148.14,2189.6
AIIL.NS,Authum Investment & Infrastructure Limited,Capital Markets,Financial Services,False,Cash,Failed Stage 2,watchlist,5.4,-5.91,-9.64,-9.15,-19.09,507.45
VARROC.NS,Varroc Engineering Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,47.77,-6.0,1.51,21.35,36.01,824.4
RAMRAT.NS,Ram Ratna Wires Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,40.01,-6.16,2.18,24.66,73.59,535.1
BALUFORGE.NS,Balu Forge Industries Limited,Metal Fabrication,Industrials,False,Cash,Stage 1,watchlist,38.91,-6.99,-9.47,31.62,-3.62,578.4
RRKABEL.NS,R R Kabel Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,41.03,-8.34,-6.41,-0.41,79.48,2630.4
INDIAGLYCO.NS,India Glycols Limited,Chemicals,Basic Materials,False,Cash,Failed Stage 2,watchlist,2.0,-78.75,-80.16,-79.71,-76.4,236.2
