Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Electronic Components,34.994285714285716,66.28999999999999,28.212857142857143,29.017142857142858,22.517142857142858,7,0,1,0,50.64214285714286,98.21428571428571,29,18,27.162857142857145,98.21428571428572,0,0,2,-11,-4.65,0,0,-1,False
Drug Manufacturers - General,14.15857142857143,30.04428571428571,19.368571428571432,33.90571428571429,21.81142857142857,7,0,1,0,22.10142857142857,80.35714285714286,30,29,23.704285714285717,80.35714285714286,0,0,1,-1,-1.89,0,0,0,False
Specialty Industrial Machinery,10.957777777777778,36.77111111111111,24.231944444444444,28.66222222222222,21.79611111111111,36,0,3,0,23.864444444444445,83.92857142857143,31,31,23.148333333333333,82.14285714285714,0,0,3,0,-1.35,0,0,0,False
Real Estate Services,8.73,15.81,11.25,38.45,21.65,1,0,0,0,12.27,55.35714285714286,32,20,26.86,55.35714285714286,0,0,0,-12,-5.21,0,0,0,False
Consumer Cyclical,13.135641025641025,18.41820512820513,15.102051282051283,37.85692307692308,20.053076923076926,39,0,7,0,15.776923076923078,66.07142857142857,33,34,21.799743589743592,67.85714285714286,0,0,8,1,-1.75,0,0,-1,False
Communication Equipment,6.715000000000001,119.19333333333333,23.376666666666665,27.846666666666668,19.986666666666668,6,0,0,0,62.954166666666666,100.0,34,35,21.761666666666667,100.0,0,0,0,1,-1.77,0,0,0,False
Mortgage Finance,-3.275,7.389999999999999,13.145,40.339999999999996,19.712,10,0,1,0,2.057499999999999,8.928571428571429,35,39,19.395,10.714285714285714,0,0,2,4,0.32,0,0,-1,False
Building Products & Equipment,0.7300000000000001,11.465454545454547,13.684545454545455,34.20727272727273,18.707272727272727,11,0,1,0,6.0977272727272736,19.642857142857142,36,33,22.062727272727276,17.857142857142858,0,0,1,-3,-3.36,0,0,0,False
Software - Infrastructure,10.786666666666667,21.751666666666665,12.891666666666666,40.24333333333333,18.69,6,0,1,0,16.269166666666667,71.42857142857143,37,40,19.211666666666662,69.64285714285714,0,0,1,3,-0.52,0,0,0,False
Information Technology Services,3.82,15.953333333333333,12.965416666666668,29.87708333333333,18.296666666666667,24,0,1,0,9.886666666666667,46.42857142857143,38,37,20.350416666666668,51.78571428571429,0,0,1,-1,-2.05,0,0,0,False
