snapshot_date,ticker,Company Name,Industry,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,public_stage_label,structure_score,relative_strength_label,volume_pattern_label,volume_pattern_display,nifty_3m_outperformance_pct,nifty_3m_outperformance_label,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-07-28,MARICO.NS,Marico Limited,Household & Personal Products,Failed Stage 2,Stage 2,Failed Stage 2,0.7,Failed Stage 2 cooling period is still active; waiting for a fresh base or confirmed reclaim.,Failed Stage 2 hold period active.,,2026-07-22,,1,145.664,near_pivot,weekly_breakout,watchlist,72.07,Failed Stage 2,67.07,Very Strong,Volume Drying Up,Volume Normal (0.90x vs 10W Avg),14.41,Outperformed Nifty by 14.41% in 3 Months,14.41,23.37,0.83,1.16,0.9,True,False,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong, flags=Low Liquidity | Failed Stage 2 hold period active."
2026-07-28,HAPPYFORGE.NS,Happy Forgings Limited,Metal Fabrication,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,2,131.336,forming_vcp,weekly_breakout,watchlist,71.68,Stage 2 - Advancing,61.68,Very Strong,Volume Drying Up,Volume Drying Up (0.57x vs 10W Avg),20.52,Outperformed Nifty by 20.52% in 3 Months,20.52,59.13,0.53,1.18,0.57,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-07-28,INDOSTAR.NS,IndoStar Capital Finance Limited,Credit Services,Stage 2,Stage 2,Advancing,0.8,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,13,131.162,watchlist,weekly_breakout,watchlist,64.56,Stage 2 - Advancing,59.56,Very Strong,Volume Drying Up,Volume Drying Up (0.44x vs 10W Avg),33.55,Outperformed Nifty by 33.55% in 3 Months,33.55,26.82,0.44,0.99,0.44,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Loose Structure;Wider Risk;Low Liquidity"
2026-07-28,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Medical Care Facilities,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,7,129.498,forming_vcp,weekly_breakout,watchlist,68.74,Stage 2 - Advancing,63.74,Very Strong,Volume Drying Up,Volume Drying Up (0.44x vs 10W Avg),17.03,Outperformed Nifty by 17.03% in 3 Months,17.03,36.17,0.62,0.61,0.44,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-07-28,FEDERALBNK.NS,The Federal Bank  Limited,Banks - Regional,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,22,128.602,watchlist,weekly_breakout,watchlist,63.01,Stage 2 - Advancing,61.01,Very Strong,Volume Drying Up,Volume Drying Up (0.40x vs 10W Avg),24.94,Outperformed Nifty by 24.94% in 3 Months,24.94,30.32,0.79,0.83,0.4,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-07-28,NYKAA.NS,FSN E-Commerce Ventures Limited,Consumer Cyclical,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,20,125.166,forming_vcp,weekly_breakout,watchlist,63.33,Stage 2 - Advancing,63.33,Very Strong,Volume Drying Up,Volume Drying Up (0.57x vs 10W Avg),24.94,Outperformed Nifty by 24.94% in 3 Months,24.94,44.31,0.58,0.83,0.57,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-07-28,EICHERMOT.NS,Eicher Motors Limited,Auto Manufacturers,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,21,124.886,forming_vcp,weekly_breakout,watchlist,63.18,Stage 2 - Advancing,61.18,Very Strong,Volume Drying Up,Volume Drying Up (0.71x vs 10W Avg),10.67,Outperformed Nifty by 10.67% in 3 Months,10.67,14.32,0.79,0.72,0.71,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-07-28,SFL.NS,Sheela Foam Limited,"Furnishings, Fixtures & Appliances",Stage 2,Stage 2,Advancing,0.8,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,15,124.634,watchlist,weekly_near_pivot,watchlist,64.42,Stage 2 - Advancing,62.42,Very Strong,Volume Drying Up,Volume Drying Up (0.48x vs 10W Avg),50.88,Outperformed Nifty by 50.88% in 3 Months,50.88,52.85,0.52,0.41,0.48,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Wider Risk;Low Liquidity"
2026-07-28,POLYPLEX.NS,Polyplex Corporation Limited,Specialty Chemicals,Stage 2,Stage 2,Extended,0.78,"Weekly advancing structure remains intact, but price is stretched versus key moving averages.",,,2026-07-27,,12,124.482,watchlist,weekly_breakout,watchlist,64.91,Stage 2 - Extended,54.91,Very Strong,Volume Drying Up,Volume Normal (1.01x vs 10W Avg),21.07,Outperformed Nifty by 21.07% in 3 Months,21.07,43.84,0.66,0.2,1.01,True,False,"Stage 2, Extended, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong, flags=Extended;Wider Risk;Low Liquidity"
2026-07-28,MINDACORP.NS,Minda Corporation Limited,Auto Parts,Stage 2,Stage 2,Advancing,0.8,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-07-27,,16,124.364,watchlist,weekly_near_pivot,watchlist,64.32,Stage 2 - Advancing,59.32,Very Strong,Volume Drying Up,Volume Drying Up (0.32x vs 10W Avg),31.88,Outperformed Nifty by 31.88% in 3 Months,31.88,30.99,0.3,0.25,0.32,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Loose Structure;Wider Risk;Low Liquidity"
