snapshot_date,ticker,Company Name,Industry,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,public_stage_label,structure_score,relative_strength_label,volume_pattern_label,volume_pattern_display,nifty_3m_outperformance_pct,nifty_3m_outperformance_label,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-08-11,FEDERALBNK.NS,The Federal Bank  Limited,Banks - Regional,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-10,,15,131.094,watchlist,weekly_breakout,watchlist,66.72,Stage 2 - Advancing,64.72,Very Strong,Volume Drying Up,Volume Drying Up (0.57x vs 10W Avg),21.99,Outperformed Nifty by 21.99% in 3 Months,21.99,28.25,0.65,0.67,0.57,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-11,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,Specialty Chemicals,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-10,,20,129.746,watchlist,weekly_breakout,watchlist,66.23,Stage 2 - Advancing,61.23,Very Strong,Volume Drying Up,Volume Drying Up (0.64x vs 10W Avg),15.11,Outperformed Nifty by 15.11% in 3 Months,15.11,30.27,0.71,0.42,0.64,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Loose Structure;Low Liquidity"
2026-08-11,GABRIEL.NS,Gabriel India Limited,Auto Parts,Stage 2,Stage 2,Extended,0.78,"Weekly advancing structure remains intact, but price is stretched versus key moving averages.",,,2026-08-10,,21,125.476,forming_vcp,weekly_breakout,watchlist,66.13,Stage 2 - Extended,61.13,Very Strong,Volume Drying Up,Volume Drying Up (0.65x vs 10W Avg),32.28,Outperformed Nifty by 32.28% in 3 Months,32.28,59.46,0.7,0.38,0.65,True,True,"Stage 2, Extended, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Loose Structure;Extended;Wide Risk;Low Liquidity"
2026-08-11,AIAENG.NS,AIA Engineering Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-10,,19,124.04,watchlist,weekly_near_pivot,watchlist,66.45,Stage 2 - Advancing,56.45,Very Strong,Volume Drying Up,Volume Drying Up (0.59x vs 10W Avg),19.52,Outperformed Nifty by 19.52% in 3 Months,19.52,27.72,0.56,0.43,0.59,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-11,ARVIND.NS,Arvind Limited,Textile Manufacturing,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-10,,3,122.158,watchlist,weekly_near_pivot,watchlist,72.04,Stage 2 - Advancing,62.04,Very Strong,Volume Drying Up,Volume Normal (0.93x vs 10W Avg),24.78,Outperformed Nifty by 24.78% in 3 Months,24.78,51.02,0.82,1.39,0.93,True,False,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong, flags=Wide Risk;Low Liquidity"
2026-08-11,IPCALAB.NS,IPCA Laboratories Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-10,,26,122.054,watchlist,weekly_breakout,watchlist,65.27,Stage 2 - Advancing,55.27,Strong,Volume Drying Up,Volume Drying Up (0.83x vs 10W Avg),6.25,Outperformed Nifty by 6.25% in 3 Months,6.25,25.4,0.79,0.88,0.83,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Wide Risk;Low Liquidity"
2026-08-11,EICHERMOT.NS,Eicher Motors Limited,Auto Manufacturers,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-10,,16,121.832,watchlist,weekly_breakout,watchlist,66.66,Stage 2 - Advancing,61.66,Very Strong,Volume Drying Up,Volume Drying Up (0.71x vs 10W Avg),10.72,Outperformed Nifty by 10.72% in 3 Months,10.72,15.36,1.08,0.95,0.71,False,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-11,POLYPLEX.NS,Polyplex Corporation Limited,Specialty Chemicals,Stage 2,Stage 2,Extended,0.78,"Weekly advancing structure remains intact, but price is stretched versus key moving averages.",,,2026-08-10,,29,120.23,watchlist,weekly_breakout,watchlist,64.9,Stage 2 - Extended,59.9,Very Strong,Volume Drying Up,Volume Normal (1.39x vs 10W Avg),32.86,Outperformed Nifty by 32.86% in 3 Months,32.86,43.32,0.81,4.3,1.39,True,False,"Stage 2, Extended, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong, flags=Loose Structure;Extended;Wider Risk;Low Liquidity"
2026-08-11,DIVISLAB.NS,Divi's Laboratories Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Extended,0.78,"Weekly advancing structure remains intact, but price is stretched versus key moving averages.",,,2026-08-10,,24,119.686,watchlist,weekly_breakout,watchlist,65.93,Stage 2 - Extended,55.93,Very Strong,Volume Drying Up,Volume Drying Up (0.85x vs 10W Avg),22.89,Outperformed Nifty by 22.89% in 3 Months,22.89,45.47,1.6,1.15,0.85,False,True,"Stage 2, Extended, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, flags=Loose Structure;Extended;Wide Risk;Low Liquidity"
2026-08-11,AUROPHARMA.NS,Aurobindo Pharma Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-10,,5,118.618,watchlist,weekly_breakout,watchlist,71.84,Stage 2 - Advancing,61.84,Very Strong,Volume Normal,Volume Normal (1.03x vs 10W Avg),5.21,Outperformed Nifty by 5.21% in 3 Months,5.21,42.31,1.0,0.34,1.03,False,False,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, weekly_strong, flags=Low Liquidity"
