snapshot_date,ticker,Company Name,Industry,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,public_stage_label,structure_score,relative_strength_label,volume_pattern_label,volume_pattern_display,nifty_3m_outperformance_pct,nifty_3m_outperformance_label,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-08-13,AJANTPHARM.NS,Ajanta Pharma Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,28,131.504,near_pivot,weekly_watchlist,watchlist,65.02,Stage 2 - Advancing,55.02,Very Strong,Volume Drying Up,Volume Drying Up (0.60x vs 10W Avg),9.12,Outperformed Nifty by 9.12% in 3 Months,9.12,31.91,0.78,1.33,0.6,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, volume_dryup, weekly_volume_dryup, flags=Wider Risk;Low Liquidity"
2026-08-13,FEDERALBNK.NS,The Federal Bank  Limited,Banks - Regional,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,19,129.888,watchlist,weekly_breakout,watchlist,65.69,Stage 2 - Advancing,63.69,Very Strong,Volume Drying Up,Volume Drying Up (0.49x vs 10W Avg),20.94,Outperformed Nifty by 20.94% in 3 Months,20.94,27.01,0.6,0.42,0.49,True,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-13,EICHERMOT.NS,Eicher Motors Limited,Auto Manufacturers,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,9,128.782,forming_vcp,weekly_breakout,watchlist,67.66,Stage 2 - Advancing,62.66,Very Strong,Volume Drying Up,Volume Drying Up (0.63x vs 10W Avg),15.74,Outperformed Nifty by 15.74% in 3 Months,15.74,8.73,0.85,0.43,0.63,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-13,AUROPHARMA.NS,Aurobindo Pharma Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,2,127.264,watchlist,weekly_breakout,watchlist,76.32,Stage 2 - Advancing,66.32,Very Strong,Volume Normal,Volume Normal (0.88x vs 10W Avg),7.67,Outperformed Nifty by 7.67% in 3 Months,7.67,50.76,1.03,0.97,0.88,False,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-13,INDIANB.NS,Indian Bank,Banks - Regional,Stage 2,Stage 2,Advancing,0.8,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,14,121.236,forming_vcp,weekly_breakout,watchlist,66.18,Stage 2 - Advancing,64.18,Strong,Volume Drying Up,Volume Drying Up (0.77x vs 10W Avg),9.92,Outperformed Nifty by 9.92% in 3 Months,9.92,7.78,0.67,0.29,0.77,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-13,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,Specialty Chemicals,Stage 2,Stage 2,Extended,0.78,"Weekly advancing structure remains intact, but price is stretched versus key moving averages.",,,2026-08-12,,1,120.816,watchlist,weekly_breakout,watchlist,77.83,Stage 2 - Extended,67.83,Very Strong,Volume Expanding,Volume Expanding (3.55x vs 10W Avg),24.43,Outperformed Nifty by 24.43% in 3 Months,24.43,40.75,1.63,6.15,3.55,False,False,"Stage 2, Extended, trend_template_ok, weekly_vcp_ok, weekly_strong, flags=Loose Structure;Extended;Low Liquidity"
2026-08-13,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Credit Services,Stage 2,Stage 2,Advancing,0.8,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,23,119.844,watchlist,weekly_breakout,watchlist,65.47,Stage 2 - Advancing,60.47,Very Strong,Volume Drying Up,Volume Drying Up (0.70x vs 10W Avg),24.43,Outperformed Nifty by 24.43% in 3 Months,24.43,17.06,0.95,0.55,0.7,False,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, flags=Loose Structure;Wide Risk;Low Liquidity"
2026-08-13,KARURVYSYA.NS,Karur Vysya Bank Limited,Banks - Regional,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,20,119.636,forming_vcp,weekly_breakout,watchlist,65.68,Stage 2 - Advancing,63.68,Strong,Volume Drying Up,Volume Drying Up (0.28x vs 10W Avg),12.27,Outperformed Nifty by 12.27% in 3 Months,12.27,11.87,0.38,0.21,0.28,True,True,"Stage 2, Advancing, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, flags=Low Liquidity"
2026-08-13,RKFORGE.NS,Ramkrishna Forgings Limited,Metal Fabrication,Stage 2,Stage 2,Extended,0.78,"Weekly advancing structure remains intact, but price is stretched versus key moving averages.",,,2026-08-12,,3,118.856,watchlist,weekly_breakout,watchlist,70.53,Stage 2 - Extended,60.53,Very Strong,Volume Normal,Volume Normal (1.22x vs 10W Avg),25.82,Outperformed Nifty by 25.82% in 3 Months,25.82,32.67,1.37,0.25,1.22,False,False,"Stage 2, Extended, trend_template_ok, weekly_vcp_ok, weekly_strong, flags=Loose Structure;Extended;Low Liquidity"
2026-08-13,NYKAA.NS,FSN E-Commerce Ventures Limited,Consumer Cyclical,Stage 2,Stage 2,Advancing,0.9,Price is above constructive weekly and long-term trend structure with improving relative strength.,,,2026-08-12,,27,118.758,watchlist,weekly_breakout,watchlist,65.04,Stage 2 - Advancing,60.04,Very Strong,Volume Drying Up,Volume Drying Up (0.80x vs 10W Avg),18.25,Outperformed Nifty by 18.25% in 3 Months,18.25,25.0,1.15,1.04,0.8,False,True,"Stage 2, Advancing, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong, flags=Wider Risk;Low Liquidity"
